2016-03-13 10:47:51+0300 [-] Log opened.
2016-03-13 11:45:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:45:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:46:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:47:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:48:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:49:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:50:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:51:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:51:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:51:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:51:36+0300 [-] Received SIGINT, shutting down.
